region	trait_pair	eur_h4	afr_h4	expected_afr	residual	power_ratio	classification
3:151750000-155250000	t2d-stroke	0.0845	0.3118	0.0581	0.2537	0.654	AFR_ENRICHED
20:60750000-64250000	t2d-asthma	0.0822	0.0283	0.0699	-0.0416	45.993	CONCORDANT_NULL
20:38750000-46250000	t2d-asthma	0.0811	0.1127	0.0689	0.0438	68.652	AFR_ENRICHED
4:139750000-141250000	t2d-stroke	0.0795	0.0019	0.0508	-0.0489	0.566	CONCORDANT_NULL
18:35750000-37250000	t2d-stroke	0.0780	0.0047	0.0534	-0.0487	0.649	CONCORDANT_NULL
10:69750000-72250000	t2d-asthma	0.0763	0.0237	0.0649	-0.0412	64.312	CONCORDANT_NULL
11:127750000-129250000	t2d-asthma	0.0730	0.0117	0.0620	-0.0503	56.542	CONCORDANT_NULL
6:75750000-77250000	t2d-asthma	0.0686	0.0119	0.0583	-0.0464	52.376	CONCORDANT_NULL
20:56750000-58250000	t2d-stroke	0.0676	0.0031	0.0427	-0.0396	0.553	CONCORDANT_NULL
13:29750000-34250000	t2d-stroke	0.0672	0.0785	0.0475	0.0310	0.693	CONCORDANT_NULL
22:39750000-43250000	t2d-asthma	0.0664	0.0225	0.0564	-0.0339	63.109	CONCORDANT_NULL
1:114750000-121250000	t2d-stroke	0.0663	0.0126	0.0463	-0.0337	0.675	CONCORDANT_NULL
10:101750000-108250000	stroke-asthma	0.0662	0.0150	0.0563	-0.0413	63.020	CONCORDANT_NULL
10:120750000-123250000	t2d-asthma	0.0658	0.0371	0.0559	-0.0188	61.120	CONCORDANT_NULL
13:90750000-92250000	t2d-stroke	0.0631	0.0312	0.0432	-0.0120	0.648	CONCORDANT_NULL
4:37750000-41250000	stroke-asthma	0.0619	0.0264	0.0526	-0.0262	66.094	CONCORDANT_NULL
3:19750000-21250000	t2d-asthma	0.0597	0.0106	0.0507	-0.0401	65.072	CONCORDANT_NULL
4:70750000-72250000	t2d-asthma	0.0592	0.0128	0.0503	-0.0375	78.016	CONCORDANT_NULL
4:160750000-164250000	t2d-stroke	0.0588	0.0067	0.0397	-0.0330	0.632	CONCORDANT_NULL
4:110750000-114250000	t2d-stroke	0.0560	0.0051	0.0396	-0.0345	0.692	CONCORDANT_NULL
3:120750000-126250000	t2d-asthma	0.0550	0.0756	0.0467	0.0289	62.321	CONCORDANT_NULL
4:51750000-57250000	t2d-stroke	0.0541	0.0057	0.0385	-0.0328	0.700	CONCORDANT_NULL
6:750000-2250000	stroke-asthma	0.0524	0.0105	0.0445	-0.0340	4.694	CONCORDANT_NULL
