region_safe	region_id	source	notes
r00102_21_25141064_27501824	m2_region_00102	m2_union	synthetic slug; M2 region union
r00103_21_27785832_30585188	m2_region_00103	m2_union	synthetic slug; M2 region union
r00104_21_30688695_46699245	m2_region_00104	m2_union	synthetic slug; M2 region union
r00105_22_15677641_50805647	m2_region_00105	m2_union	synthetic slug; M2 region union
r00106_3_18322_2457295	m2_region_00106	m2_union	synthetic slug; M2 region union
r00107_3_2567717_17555669	m2_region_00107	m2_union	synthetic slug; M2 region union
r00108_3_17700778_59482702	m2_region_00108	m2_union	synthetic slug; M2 region union
r00109_3_59757332_75660992	m2_region_00109	m2_union	synthetic slug; M2 region union
r00110_3_75880196_90455656	m2_region_00110	m2_union	synthetic slug; M2 region union
r00111__sub00_3_93786108_101381357	m2_region_00111__sub00	m2_union	synthetic slug; M2 region union
r00111__sub01_3_95381357_105976606	m2_region_00111__sub01	m2_union	synthetic slug; M2 region union
r00111__sub02_3_99976606_110571855	m2_region_00111__sub02	m2_union	synthetic slug; M2 region union
r00111__sub03_3_104571855_115167104	m2_region_00111__sub03	m2_union	synthetic slug; M2 region union
r00111__sub04_3_109167104_119762353	m2_region_00111__sub04	m2_union	synthetic slug; M2 region union
r00111__sub05_3_113762353_124357602	m2_region_00111__sub05	m2_union	synthetic slug; M2 region union
r00111__sub06_3_118357602_128952851	m2_region_00111__sub06	m2_union	synthetic slug; M2 region union
r00111__sub07_3_122952851_133548100	m2_region_00111__sub07	m2_union	synthetic slug; M2 region union
r00111__sub08_3_127548100_138143349	m2_region_00111__sub08	m2_union	synthetic slug; M2 region union
r00111__sub09_3_132143349_142738598	m2_region_00111__sub09	m2_union	synthetic slug; M2 region union
r00111__sub10_3_136738598_144333852	m2_region_00111__sub10	m2_union	synthetic slug; M2 region union
r00112_3_144864719_166494106	m2_region_00112	m2_union	synthetic slug; M2 region union
r00113_3_166901099_198235088	m2_region_00113	m2_union	synthetic slug; M2 region union
r00114_4_10000_33124049	m2_region_00114	m2_union	synthetic slug; M2 region union
r00115_4_33538947_35544076	m2_region_00115	m2_union	synthetic slug; M2 region union
r00116_4_35818735_42208167	m2_region_00116	m2_union	synthetic slug; M2 region union
r00117_4_42514772_49657470	m2_region_00117	m2_union	synthetic slug; M2 region union
r00118_4_51794220_58086355	m2_region_00118	m2_union	synthetic slug; M2 region union
r00119_4_58289023_60901204	m2_region_00119	m2_union	synthetic slug; M2 region union
r00120__sub00_4_61412546_69255619	m2_region_00120__sub00	m2_union	synthetic slug; M2 region union
r00120__sub01_4_63255619_74098692	m2_region_00120__sub01	m2_union	synthetic slug; M2 region union
r00120__sub02_4_68098692_78941765	m2_region_00120__sub02	m2_union	synthetic slug; M2 region union
r00120__sub03_4_72941765_83784838	m2_region_00120__sub03	m2_union	synthetic slug; M2 region union
r00120__sub04_4_77784838_88627911	m2_region_00120__sub04	m2_union	synthetic slug; M2 region union
r00120__sub05_4_82627911_93470984	m2_region_00120__sub05	m2_union	synthetic slug; M2 region union
r00120__sub06_4_87470984_98314057	m2_region_00120__sub06	m2_union	synthetic slug; M2 region union
r00120__sub07_4_92314057_103157130	m2_region_00120__sub07	m2_union	synthetic slug; M2 region union
