region_id	ancestry	region_class	window_span_mb	n_var	routed_path	est_block_count	est_output_gib	over_threshold
m2_region_00072	EUR	medium	15.4006	73578	A.3	162.0	10.827444168	True
m2_region_00073	AFR	medium	7.4544	50781	A.2	84.5	5.157419922	False
m2_region_00073	EUR	medium	7.4544	26336	A.2	24.5	1.387169792	False
m2_region_00074	AFR	small	2.0	16138	A.1	8.0	0.520870088	False
m2_region_00074	EUR	small	2.0	8305	A.1	4.5	0.13794605	False
m2_region_00075	AFR	medium	6.6288	45774	A.2	72.0	4.190518152	False
m2_region_00075	EUR	medium	6.6288	24093	A.2	18.0	1.160945298	False
m2_region_00076	AFR	small	2.8533	19604	A.1	12.5	0.768633632	False
m2_region_00076	EUR	small	2.8533	10823	A.1	4.5	0.234274658	False
m2_region_00077	AFR	medium	11.0067	80256	A.3	200.0	12.882051072	True
m2_region_00077	EUR	medium	11.0067	43989	A.3	60.5	3.870064242	False
m2_region_00078	AFR	medium	16.3653	129707	A.3	512.0	33.647811698	True
m2_region_00078	EUR	medium	16.3653	73892	A.3	180.5	10.920055328	True
m2_region_00079	AFR	medium	9.003	78603	A.2	200.0	12.356863218	True
m2_region_00079	EUR	medium	9.003	44708	A.2	60.5	3.997610528	False
m2_region_00080	AFR	small	2.7835	25404	A.1	24.5	1.290726432	False
m2_region_00080	EUR	small	2.7835	14354	A.1	8.0	0.412074632	False
m2_region_00081	AFR	medium	22.8465	196219	A.3	1152.0	77.003791922	True
m2_region_00081	EUR	medium	22.8465	110770	A.3	392.0	24.5399858	True
m2_region_00082	AFR	small	1.2075	10362	A.1	4.5	0.214742088	False
m2_region_00082	EUR	small	1.2075	5005	A.1	2.0	0.05010005	False
m2_region_00083	AFR	large	31.3654	255076	A.3	1984.5	130.127531552	True
m2_region_00083	EUR	large	31.3654	141053	A.3	612.5	39.791897618	True
m2_region_00084	AFR	small	4.9542	44263	A.1	60.5	3.918426338	False
m2_region_00084	EUR	small	4.9542	24398	A.1	18.0	1.190524808	False
m2_region_00085	AFR	small	2.0072	18136	A.1	12.5	0.657828992	False
m2_region_00085	EUR	small	2.0072	9289	A.1	4.5	0.172571042	False
m2_region_00086	AFR	medium	6.137	51792	A.2	84.5	5.364822528	False
m2_region_00086	EUR	medium	6.137	27726	A.2	24.5	1.537462152	False
m2_region_00087	AFR	medium	23.7176	183488	A.3	1012.5	67.335692288	True
m2_region_00087	EUR	medium	23.7176	101248	A.3	312.5	20.502315008	True
m2_region_00088__sub00	AFR	medium	7.593	64406	A.2	101.14537922998076	6.555694824899306	False
m2_region_00088__sub00	EUR	medium	9.593	43517	A.2	60.5	3.787458578	False
m2_region_00088__sub01	AFR	medium	10.593	89217	A.3	137.0712499566932	9.016878839304821	False
m2_region_00088__sub01	EUR	medium	14.1861	65528	A.3	90.22940968395598	6.053714954862033	False
m2_region_00088__sub02	AFR	medium	10.593	89456	A.3	137.0712499566932	9.06525348901556	False
m2_region_00088__sub02	EUR	medium	14.593	68413	A.3	99.01986777112992	6.414484515245667	False
m2_region_00088__sub03	AFR	medium	10.593	87274	A.3	137.0712499566932	8.628409839638909	False
m2_region_00088__sub03	EUR	medium	14.593	63582	A.3	87.71310086300782	5.540549765158451	False
m2_region_00088__sub04	AFR	medium	10.593	73118	A.3	91.75844005365414	6.056331099946748	False
m2_region_00088__sub04	EUR	medium	14.593	59631	A.3	77.09159255537797	4.8733620328772	False
m2_region_00088__sub05	AFR	medium	10.593	73336	A.3	91.75844005365414	6.0924986202721385	False
m2_region_00088__sub05	EUR	medium	14.593	56798	A.3	67.15534284824037	4.42130603847823	False
m2_region_00088__sub06	AFR	medium	10.593	77754	A.3	102.23702734373192	6.8486738301813705	False
m2_region_00088__sub06	EUR	medium	14.593	55502	A.3	67.15534284824037	4.221839868633185	False
m2_region_00088__sub07	AFR	medium	10.593	84147	A.3	124.89343229525146	8.02118027484296	False
m2_region_00088__sub07	EUR	medium	14.593	60903	A.3	77.09159255537797	5.083488699503208	False
m2_region_00088__sub08	AFR	medium	10.593	83354	A.3	124.89343229525146	7.870709695081605	False
m2_region_00088__sub08	EUR	medium	14.593	60887	A.3	77.09159255537797	5.0808180548646815	False
m2_region_00088__sub09	AFR	medium	10.593	79326	A.3	113.2820247575977	7.128400862038448	False
m2_region_00088__sub09	EUR	medium	14.1861	57460	A.3	79.30315297352635	4.654780122668232	False
m2_region_00088__sub10	AFR	medium	7.593	48916	A.2	56.89422336619414	3.7815299583644917	False
m2_region_00088__sub10	EUR	medium	9.593	35355	A.2	40.5	2.49995205	False
