pathway	magma_beta	magma_p	magma_q	gprofiler_p	gprofiler_q	ldsc_h2_frac	ldsc_enrichment	ldsc_p	n_methods_significant	geometric_mean_p	consensus_rank
GOBP_ENZYME_LINKED_RECEPTOR_...	0.2239	0.000001	0.000530	NA	NA	NA	NA	NA	1	0.000001	153
GOBP_FAT_CELL_DIFFERENTIATION	0.3221	0.000001	0.000700	NA	NA	NA	NA	NA	1	0.000001	154
GOBP_MIRNA_TRANSCRIPTION	0.5985	0.000001	0.000087	NA	NA	NA	NA	NA	1	0.000001	155
GOBP_NATURAL_KILLER_CELL_DIF...	0.9963	0.000001	0.000074	NA	NA	NA	NA	NA	1	0.000001	156
GOBP_NEGATIVE_REGULATION_OF_...290	0.3332	0.000001	0.000113	NA	NA	NA	NA	NA	1	0.000001	157
GOBP_POSITIVE_REGULATION_OF_...110	0.2834	0.000001	0.000072	NA	NA	NA	NA	NA	1	0.000001	158
GOBP_POSITIVE_REGULATION_OF_...417	0.4060	0.000001	0.000119	NA	NA	NA	NA	NA	1	0.000001	159
GOBP_POSITIVE_REGULATION_OF_...590	0.4432	0.000001	0.000064	NA	NA	NA	NA	NA	1	0.000001	160
GOBP_REGULATION_OF_ADAPTIVE_...	0.3415	0.000001	0.000105	NA	NA	NA	NA	NA	1	0.000001	161
GOBP_REGULATION_OF_DEFENSE_R...1	0.1745	0.000001	0.000062	NA	NA	NA	NA	NA	1	0.000001	162
GOBP_REGULATION_OF_LYMPHOCYT...5	0.3788	0.000001	0.000059	NA	NA	NA	NA	NA	1	0.000001	163
GOBP_REGULATION_OF_PROTEIN_S...1	0.3136	0.000001	0.000700	NA	NA	NA	NA	NA	1	0.000001	164
GOBP_REGULATION_OF_SYNAPSE_A...	0.5632	0.000001	0.000311	NA	NA	NA	NA	NA	1	0.000001	165
GOBP_REGULATION_OF_SYNAPSE_S...2	0.3873	0.000001	0.000655	NA	NA	NA	NA	NA	1	0.000001	166
GOBP_RESPONSE_TO_CARBOHYDRATE	0.3306	0.000001	0.000469	NA	NA	NA	NA	NA	1	0.000001	167
GOBP_RESPONSE_TO_INTERLEUKIN...7	1.5542	0.000001	0.000063	NA	NA	NA	NA	NA	1	0.000001	168
GOBP_TRANS_SYNAPTIC_SIGNALIN...4	2.9415	0.000001	0.000422	NA	NA	NA	NA	NA	1	0.000001	169
GOBP_T_CELL_PROLIFERATION	0.3555	0.000001	0.000072	NA	NA	NA	NA	NA	1	0.000001	170
GOBP_VASCULATURE_DEVELOPMENT	0.2615	0.000001	0.000487	NA	NA	NA	NA	NA	1	0.000001	171
GTEx_eQTL_MaxCPPL2_0	NA	NA	NA	NA	NA	0.063441	6.1352	0.000001	1	0.000001	172
REACTOME_INTERLEUKIN_4_AND_I...	0.5249	0.000001	0.000068	NA	NA	NA	NA	NA	1	0.000001	173
REACTOME_REGULATION_OF_GENE_...5	1.3227	0.000001	0.000700	NA	NA	NA	NA	NA	1	0.000001	174
GOBP_CENTRAL_NERVOUS_SYSTEM_...7	0.4846	0.000002	0.000827	NA	NA	NA	NA	NA	1	0.000002	175
GOBP_MACROPHAGE_ACTIVATION	0.4650	0.000002	0.000151	NA	NA	NA	NA	NA	1	0.000002	176
GOBP_NEGATIVE_REGULATION_OF_...295	0.3537	0.000002	0.000189	NA	NA	NA	NA	NA	1	0.000002	177
GOBP_NEPHRON_DEVELOPMENT	0.5484	0.000002	0.001243	NA	NA	NA	NA	NA	1	0.000002	178
GOBP_NEUROINFLAMMATORY_RESPO...	0.5253	0.000002	0.000155	NA	NA	NA	NA	NA	1	0.000002	179
GOBP_POSITIVE_REGULATION_OF_...290	0.1443	0.000002	0.000180	NA	NA	NA	NA	NA	1	0.000002	180
GOBP_POSITIVE_REGULATION_OF_...394	0.4117	0.000002	0.000135	NA	NA	NA	NA	NA	1	0.000002	181
GOBP_REGULATION_OF_CD4_POSIT...1	0.5564	0.000002	0.000140	NA	NA	NA	NA	NA	1	0.000002	182
